_id,meleid,sap,descripcion,linea
65f87eb98d297356122cbf7f,44,LB-00000540,KIT PARA APILAR LAVADORA SECADORA C/FRONTAL 11 KG SKDH SAMSUNG,Linea Blanca
65f87eb98d297356122cbf80,45,LB-00000543,"A/A 12000 BTU SPLIT AR12TRHQDWKXXL-NXL SET UNIDAD EXTERNA, INTERNA Y TUBERIA SAMSUNG",Linea Blanca
65f87eb98d297356122cbf81,46,LB-00000558,REFRIGERADOR 17 PIE SBS C/PLATA HYN17RF20SS HYUNDAI,Linea Blanca
65f87eb98d297356122cbf82,47,LB-00000567,MICROONDA 1.4 PIE C/PLATA MJ1466APR LG,Linea Blanca
65f87eb98d297356122cbf83,48,LB-00000574,REFRIGERADOR 27 PIE SBS C/DISPENSADOR C/GRIS RS27T5200S9 SAMSUNG,Linea Blanca
65f87eb98d297356122cbf84,49,LB-00000575,DISPENSADOR DE AGUA HYND6532W C/BLANCO HYUNDAI,Linea Blanca
65f87eb98d297356122cbf85,50,LB-00000583,CONGELADOR HORIZONTAL C/BLANCO HYNFH2060 HYUNDAI,Linea Blanca
65f87eb98d297356122cbf86,51,LB-00000590,TOPE ELECT. 77 CM 4 HORNILLAS HYN80TE20 HYUNDAI,Linea Blanca
65f87eb98d297356122cbf87,52,LB-00000591,TOPE ELECT. 90 CM 5 HORNILLAS HYN95TE20 HYUNDAI,Linea Blanca
65f87eb98d297356122cbf88,53,LB-00000601,A/A 12000 BTU PORTATIL C/BLANCO HYNAP12M20 HYUNDAI,Linea Blanca
65f87eb98d297356122cbf89,54,LB-00000603,A/A 12000 BTU D/VENTANA 110V HYNAV12500D20 HYUNDAI,Linea Blanca
65f87eb98d297356122cbf8a,55,LB-00000611,REFRIGERADOR 27 PIE SBS INVERTER C/DISPENSADOR C/NEGRO RS27T5200B1 SAMSUNG,Linea Blanca
65f87eb98d297356122cbf8b,56,LB-00000630,REFRIGERADOR 28 PIE SBS C/PLATA RS28T5B00S9 SAMSUNG,Linea Blanca
65f87eb98d297356122cbf8c,57,LB-00000631,MICROONDA 0.9 PIE  C/NEGRO AHUMADO MS0936GIS LG,Linea Blanca
65f87eb98d297356122cbf8d,58,LB-00000632,MICROONDA 1.5 PIE  ACERO INOX. C/GRIS MH1596CIR LG,Linea Blanca
65f87eb98d297356122cbf8e,59,LB-00000633,MICROONDA 1.5 PIE  C/GRIS ACERO INOX. MS1596CIR LG,Linea Blanca
65f87eb98d297356122cbf8f,60,LB-00000634,MICROONDA 1.5 PIE C/NEGRO MS1536GIR LG,Linea Blanca
65f87eb98d297356122cbf90,61,LB-00000645,A/A 12000 BTU D/VENTANA 220V HYNAV13600D20 HYUNDAI,Linea Blanca
65f87eb98d297356122cbf91,62,LB-00000646,A/A 5000 BTU D/VENTANA 110V HYNAV5000P20 HYUNDAI,Linea Blanca
65f87eb98d297356122cbf92,63,LB-00000648,CONGELADOR HORIZONTAL C/GRIS HYNFH2060S HYUNDAI,Linea Blanca
65f87eb98d297356122cbf93,64,LB-00000677,REFRIGERADOR 28 PIE FD 3 PUERTAS INVERTER C/GRIS RF28T5A01S9 SAMSUNG,Linea Blanca
65f87eb98d297356122cbf94,65,LB-00000678,REFRIGERADOR 22 PIE SBS INVERTER C/DISPENSADOR ACERO INOX RS22T5200S9 SAMSUNG,Linea Blanca
65f87eb98d297356122cbf95,66,LB-00000692,SECADORA ELECT. 22 KG C/FRONTAL P/DIGITAL C/BLANCO DVE22R6270W SAMSUNG,Linea Blanca
65f87eb98d297356122cbf96,67,LB-00000698,TOPE ELECT.75 CM 4 HORNILLAS C/NEGRO FFEC3025UB FRIGIDAIRE,Linea Blanca
65f87eb98d297356122cbf97,68,LB-00000702,TOPE ELECT. 75 CM 5 HORNILLAS NEGRO FGEC3068UB FRIGIDAIRE,Linea Blanca
65f87eb98d297356122cbf98,69,LB-00000706,TOPE ELECT. 90 CM 5 HORNILLAS NEGRO EI36EC45KS ELECTROLUX,Linea Blanca
65f87eb98d297356122cbf99,70,LB-00000713,LAVADORA 20 KG C/FRONTAL DIGITAL C/BLANCO 7MWFW6622HW WHIRLPOOL,Linea Blanca
65f87eb98d297356122cbf9a,71,LB-00000720,SECADORA ELECT. 20 KG C/FRONTAL C/BLANCO 7MWED6613HW WHIRLPOOL,Linea Blanca
65f87eb98d297356122cbf9b,72,LB-00000723,REFRIGERADOR 25 PIE FD 3 PUERTAS INVERTER C/GRIS LM65BGSK LG,Linea Blanca
65f87eb98d297356122cbf9c,73,LB-00000726,REFRIGERADOR 07 PIE TF C/GRIS GU18BPP LG,Linea Blanca
65f87eb98d297356122cbf9d,74,LB-00000727,REFRIGERADOR 08 PIE TF INVERTER C/DISPENSADOR C/GRIS GU21WPP LG,Linea Blanca
65f87eb98d297356122cbf9e,75,LB-00000729,KIT PARA APILAR LAVADORA SECADORA C/FRONTAL 22KG C/GRIS SSTK1 LG,Linea Blanca
65f87eb98d297356122cbf9f,76,LB-00000731,KIT PARA APILAR LAVADORA SECADORA 22KG C/BLANCO TDS270 LG,Linea Blanca
65f87eb98d297356122cbfa0,77,LB-00000743,LAVADORA 09 KG C/SUPERIOR C/GRIS WT9DSBP LG,Linea Blanca
65f87eb98d297356122cbfa1,78,LB-00000752,LAVAVAJILLAS 24 PULG C/NEGRO FGIP2468UD FRIGIDAIRE,Linea Blanca
65f87eb98d297356122cbfa2,79,LB-00000753,LAVAVAJILLAS 24 PULG C/NEGRO FGID2468UD FRIGIDAIRE,Linea Blanca
65f87eb98d297356122cbfa3,80,LB-00000754,LAVAVAJILLAS 24 PULG C/GRIS FGID2468UF FRIGIDAIRE,Linea Blanca
65f87eb98d297356122cbfa4,81,LB-00000755,SECADORA ELECT. 21 KG C/NEGRO C/FRONTAL EFME627UTT ELECTROLUX,Linea Blanca
65f87eb98d297356122cbfa5,82,LB-00000770,COCINA ELECT. 30 PULG 5 HORNILLAS C/NEGRO/PLATA  GCRE3060AF FRIGIDAIRE,Linea Blanca
65f87eb98d297356122cbfa6,83,LB-00000771,COCINA ELECT. 30 PULG 4 HORNILLAS C/NEGRO/PLATA  GCRI3058AF FRIGIDAIRE,Linea Blanca
65f87eb98d297356122cbfa7,84,LB-00000780,TOPE ELECT. 75 CM 4 HORNILLAS C/NEGRO EI30EC45KS ELECTROLUX,Linea Blanca
65f87eb98d297356122cbfa8,85,LB-00000797,REFRIGERADOR 25 PIE FD 3 PUERTAS C/GRIS WRF535SWHZ WHIRLPOOL,Linea Blanca
65f87eb98d297356122cbfa9,86,LB-00000801,LAVADORA 15 KG SEMIAUTOMATICA C/BLANCO HYDT15W21 HYUNDAI,Linea Blanca
